pdv,idregion,idciudad,canal,actividad
PDV 47873,2,1209,CANAL 3,F
PDV 47179,3,1409,CANAL 5,F
PDV 43609,3,1411,CANAL 3,F
PDV 47128,2,24,CANAL 3,F
PDV 47130,3,1409,CANAL 3,F
PDV 47131,3,1409,CANAL 3,F
PDV 115328,2,1203,CANAL 3,F
PDV 115330,2,1203,CANAL 3,F
PDV 115338,3,1315,CANAL 3,F
PDV 115340,3,1311,CANAL 3,F
PDV 115342,3,1315,CANAL 3,F
PDV 115344,2,1197,CANAL 3,F
PDV 115346,2,1227,CANAL 3,F
PDV 115271,3,1263,CANAL 3,F
PDV 115364,3,1315,CANAL 3,F
PDV 115369,3,1315,CANAL 3,F
PDV 115371,3,1315,CANAL 3,F
PDV 115373,3,1315,CANAL 3,F
PDV 115393,2,24,CANAL 3,F
PDV 115395,2,1203,CANAL 3,F
PDV 115397,2,1203,CANAL 3,F
PDV 115399,2,679,CANAL 3,F
PDV 115401,3,1383,CANAL 3,F
PDV 115575,2,1175,CANAL 3,F
PDV 115577,2,1175,CANAL 3,F
PDV 115579,2,1197,CANAL 3,F
PDV 115594,2,1175,CANAL 3,F
PDV 115596,2,1175,CANAL 3,F
PDV 115598,2,1221,CANAL 3,F
PDV 115600,2,1203,CANAL 3,F
PDV 115602,2,1175,CANAL 3,F
PDV 115605,2,54,CANAL 3,F
PDV 115607,2,45,CANAL 3,F
PDV 115609,2,1227,CANAL 3,F
PDV 115422,2,24,CANAL 3,F
PDV 115581,2,1197,CANAL 3,F
PDV 115583,2,1175,CANAL 3,F
PDV 115585,2,1175,CANAL 3,F
PDV 115587,2,1199,CANAL 3,F
PDV 115589,2,1215,CANAL 3,F
PDV 115591,2,1215,CANAL 3,F
PDV 115673,3,1263,CANAL 3,F
PDV 115676,3,1263,CANAL 3,F
PDV 115678,3,1277,CANAL 3,F
PDV 115680,3,1277,CANAL 3,F
PDV 115682,3,1289,CANAL 3,F
PDV 115686,3,1409,CANAL 3,F
PDV 115688,2,679,CANAL 3,F
PDV 115690,2,25,CANAL 3,F
PDV 115692,2,25,CANAL 3,F
PDV 115303,2,24,CANAL 3,F
PDV 115305,2,24,CANAL 3,F
PDV 115307,2,679,CANAL 3,F
PDV 115309,2,58,CANAL 3,F
PDV 115248,2,1175,CANAL 3,F
PDV 115261,3,1327,CANAL 3,F
PDV 115268,3,1429,CANAL 3,F
PDV 115280,2,1191,CANAL 3,F
PDV 115237,3,1315,CANAL 3,F
PDV 115239,2,1183,CANAL 3,F
PDV 115241,3,1311,CANAL 3,F
PDV 115243,3,1315,CANAL 3,F
PDV 115245,3,1321,CANAL 3,F
PDV 94572,3,1450,CANAL 3,S
PDV 95186,2,24,CANAL 3,S
PDV 95189,2,1189,CANAL 3,S
PDV 93605,2,1183,CANAL 3,S
PDV 93847,2,24,CANAL 3,S
PDV 94175,3,1321,CANAL 3,S
PDV 89922,2,1175,CANAL 3,S
PDV 90001,2,1189,CANAL 3,S
PDV 90002,3,1409,CANAL 3,S
PDV 89998,2,1175,CANAL 3,S
PDV 90005,2,24,CANAL 3,S
PDV 89993,2,1161,CANAL 3,S
PDV 95362,2,1149,CANAL 3,S
PDV 92723,2,1189,CANAL 3,S
PDV 99316,2,24,CANAL 3,S
PDV 101810,2,24,CANAL 3,S
PDV 101811,2,1149,CANAL 3,S
PDV 101812,2,24,CANAL 3,S
PDV 101813,2,24,CANAL 3,S
PDV 101814,2,24,CANAL 3,F
PDV 102287,2,24,CANAL 3,S
PDV 102293,2,24,CANAL 3,S
PDV 102285,2,24,CANAL 3,S
PDV 102289,2,24,CANAL 3,S
PDV 102291,2,24,CANAL 3,S
PDV 102295,2,24,CANAL 3,S
PDV 102299,2,24,CANAL 3,S
PDV 103773,2,679,CANAL 3,S
PDV 104858,2,24,CANAL 3,S
PDV 107181,2,24,CANAL 3,S
PDV 107182,3,1259,CANAL 3,S
PDV 105705,2,24,CANAL 3,S
PDV 108512,2,24,CANAL 3,S
PDV 108510,3,1383,CANAL 3,S
PDV 108127,2,24,CANAL 3,S
PDV 110772,2,24,CANAL 3,S
PDV 110776,2,24,CANAL 3,S
PDV 110774,2,24,CANAL 3,S
PDV 109629,2,24,CANAL 5,S
PDV 110374,2,25,CANAL 3,S
PDV 118736,3,1409,CANAL 3,S
PDV 116663,3,1255,CANAL 3,T
PDV 44688,2,846,CANAL 3,S
PDV 41743,2,1239,CANAL 3,S
PDV 41320,2,1221,CANAL 3,S
PDV 47228,2,24,CANAL 3,S
PDV 44524,3,1365,CANAL 3,S
PDV 46192,2,24,CANAL 3,S
PDV 46240,3,1279,CANAL 3,S
PDV 43804,2,1169,CANAL 3,S
PDV 45764,3,1413,CANAL 3,S
PDV 45925,2,1175,CANAL 3,S
PDV 48446,2,25,CANAL 3,S
PDV 110371,2,679,CANAL 3,S
PDV 116092,2,24,CANAL 3,S
PDV 48299,3,1409,CANAL 3,S
PDV 47525,3,1303,CANAL 3,S
