pdv,fecha,pago,cp,banco
PDV 91861,20211004,40.00,1,BANCO 9
PDV 98472,20211210,53.00,1,BANCO 9
PDV 94996,20210821,18.10,1,BANCO 9
PDV 49370,20220429,100.00,1,BANCO 9
PDV 111466,20230203,100.00,1,BANCO 9
PDV 106707,20230324,20.00,1,BANCO 9
PDV 109705,20220406,30.00,1,BANCO 9
PDV 95511,20220418,100.00,1,BANCO 74
PDV 106835,20220902,200.00,1,BANCO 130
PDV 48731,20230112,20.00,1,BANCO 9
PDV 90889,20220928,105.00,1,BANCO 9
PDV 100214,20230218,100.00,1,BANCO 9
PDV 97972,20210724,500.00,1,BANCO 9
PDV 104247,20210928,150.00,1,BANCO 83
PDV 50909,20210820,20.00,1,BANCO 82
PDV 39936,20211115,50.00,1,BANCO 9
PDV 101657,20220625,30.00,1,BANCO 86
PDV 100271,20220701,30.00,1,BANCO 9
PDV 109532,20221118,185.00,1,BANCO 9
PDV 104546,20230613,90.00,1,BANCO 83
PDV 4030,20230315,10.00,1,BANCO 85
PDV 107410,20230609,24.00,1,BANCO 9
PDV 104951,20210712,150.00,1,BANCO 82
PDV 44305,20210715,230.00,1,BANCO 9
PDV 104690,20211022,120.00,1,BANCO 9
PDV 115106,20221229,55.00,1,BANCO 9
PDV 51077,20211214,100.00,1,BANCO 9
PDV 101535,20220324,100.00,1,BANCO 9
PDV 103817,20220524,2.00,1,BANCO 87
PDV 47251,20230327,302.00,1,BANCO 82
PDV 101272,20221206,150.00,1,BANCO 9
PDV 109490,20230318,19.00,1,BANCO 130
PDV 102332,20230321,80.00,1,BANCO 9
PDV 100063,20230630,70.00,1,BANCO 9
PDV 44212,20230724,12.00,1,BANCO 9
PDV 99995,20210930,20.00,1,BANCO 86
PDV 98397,20210818,1.00,1,BANCO 9
PDV 101756,20210821,100.00,1,BANCO 9
PDV 48731,20220107,100.00,1,BANCO 75
PDV 107068,20220820,10.00,1,BANCO 9
PDV 95563,20220110,25.00,1,BANCO 9
PDV 101643,20230208,100.00,1,BANCO 9
PDV 45237,20221212,400.00,1,BANCO 83
PDV 100779,20220627,60.00,1,BANCO 82
PDV 90124,20230523,50.00,1,BANCO 75
PDV 112206,20221219,20.00,1,BANCO 82
PDV 117514,20230601,200.00,1,BANCO 9
PDV 111712,20230419,5.00,1,BANCO 9
PDV 97739,20210901,36.50,1,BANCO 9
PDV 100884,20220426,100.00,1,BANCO 9
PDV 107727,20220504,100.00,1,BANCO 9
PDV 45649,20220226,100.00,1,BANCO 86
PDV 109945,20220613,50.00,1,BANCO 9
PDV 104690,20220727,68.00,1,BANCO 9
PDV 96218,20230109,78.00,1,BANCO 86
PDV 106108,20230311,70.00,1,BANCO 82
PDV 90404,20210708,40.00,1,BANCO 9
PDV 106115,20210922,9.61,1,BANCO 9
PDV 100986,20211006,36.50,1,BANCO 9
PDV 47462,20220520,87.00,1,BANCO 82
PDV 61357,20220726,15.00,1,BANCO 9
PDV 49705,20211227,150.00,1,BANCO 9
PDV 109957,20221230,5.07,1,BANCO 9
PDV 103667,20220318,50.00,1,BANCO 82
PDV 106298,20230625,100.00,1,BANCO 9
PDV 111129,20220815,19.00,1,BANCO 82
PDV 96220,20220924,5.00,1,BANCO 86
PDV 109732,20221124,56.00,1,BANCO 74
PDV 104805,20221125,160.00,1,BANCO 9
