ventas,cantidad,pdv,producto,fecha,categoria
14,00,8,PDV 104074,PRODUCTO 9,20210727,RECARGAS
20,00,4,PDV 15896,PRODUCTO 27,20230524,RECARGAS
6,00,3,PDV 21017,PRODUCTO 27,20230706,RECARGAS
98,84,6,PDV 50196,PRODUCTO 44,20210724,RECAUDACION
6,00,6,PDV 111013,PRODUCTO 9,20221109,RECARGAS
3,00,2,PDV 101510,PRODUCTO 6,20230413,RECARGAS
1,00,1,PDV 46425,PRODUCTO 9,20230325,RECARGAS
8,50,3,PDV 109391,PRODUCTO 545,20220619,JUEGOS
2,00,2,PDV 106265,PRODUCTO 26,20210723,RECARGAS
41,00,11,PDV 107511,PRODUCTO 9,20220430,RECARGAS
20,00,6,PDV 91952,PRODUCTO 83,20221023,RECARGAS
5,00,1,PDV 105856,PRODUCTO 6,20221221,RECARGAS
1,00,1,PDV 37507,PRODUCTO 9,20220914,RECARGAS
1,00,1,PDV 109011,PRODUCTO 26,20220324,RECARGAS
1,00,1,PDV 105047,PRODUCTO 83,20220504,RECARGAS
24,00,12,PDV 41206,PRODUCTO 9,20210708,RECARGAS
2,00,1,PDV 105233,PRODUCTO 83,20210816,RECARGAS
7,00,1,PDV 111363,PRODUCTO 27,20220818,RECARGAS
1,00,1,PDV 108903,PRODUCTO 26,20220309,RECARGAS
1,00,1,PDV 41171,PRODUCTO 26,20220905,RECARGAS
8,00,2,PDV 114289,PRODUCTO 27,20230509,RECARGAS
22,00,10,PDV 94028,PRODUCTO 9,20221007,RECARGAS
53,00,7,PDV 108647,PRODUCTO 12,20220301,TVPAGA
1,00,1,PDV 100957,PRODUCTO 27,20211123,RECARGAS
22,00,10,PDV 100745,PRODUCTO 9,20210725,RECARGAS
110,57,1,PDV 43559,PRODUCTO 556,20220610,RECAUDACION
4,00,2,PDV 95158,PRODUCTO 9,20220604,RECARGAS
1,00,1,PDV 45048,PRODUCTO 1,20220308,RECARGAS
1,00,1,PDV 113170,PRODUCTO 26,20230713,RECARGAS
11,00,8,PDV 23111,PRODUCTO 9,20230412,RECARGAS
37,00,8,PDV 113395,PRODUCTO 26,20230130,RECARGAS
7,00,1,PDV 49755,PRODUCTO 27,20220818,RECARGAS
47,00,3,PDV 94244,PRODUCTO 12,20211226,TVPAGA
20,00,12,PDV 98132,PRODUCTO 9,20230417,RECARGAS
1,00,1,PDV 46507,PRODUCTO 9,20220614,RECARGAS
1,00,1,PDV 101466,PRODUCTO 6,20230311,RECARGAS
2,00,1,PDV 97337,PRODUCTO 6,20220430,RECARGAS
23,69,1,PDV 38665,PRODUCTO 145,20220803,RECAUDACION
15,00,6,PDV 108264,PRODUCTO 9,20220520,RECARGAS
2,00,2,PDV 107885,PRODUCTO 6,20230202,RECARGAS
13,00,7,PDV 99836,PRODUCTO 9,20220407,RECARGAS
